Bowler,Wickets
A Ashish Reddy,19
A Badoni,2
A Chandila,11
A Choudhary,5
A Flintoff,2
A Kamboj,2
A Kumble,49
A Mishra,183
A Mithun,8
A Nehra,121
A Nel,1
A Nortje,62
A Singh,31
A Symonds,23
A Uniyal,3
A Zampa,30
AA Chavan,8
AA Jhunjhunwala,1
AA Kazi,1
AA Noffke,1
AB Agarkar,33
AB Dinda,82
AB McDonald,14
AC Gilchrist,1
AC Thomas,16
AC Voges,1
AD Mascarenhas,19
AD Mathews,28
AD Russell,125
AF Milne,9
AG Murtaza,12
AJ Finch,1
AJ Hosein,1
AJ Tye,48
AK Markram,2
AL Menaria,3
AM Nayar,9
AM Rahane,1
AM Salvi,7
AN Ahmed,15
AP Dole,5
AR Patel,131
AS Joseph,22
AS Rajpoot,24
AS Roy,6
AU Rashid,2
Abdul Samad,2
Abhishek Sharma,11
Akash Deep,8
Akash Madhwal,22
Akash Singh,5
Anand Rajan,10
Ankit Sharma,12
Ankit Soni,4
Anureet Singh,21
Arjun Tendulkar,4
Arshad Khan,6
Arshdeep Singh,84
Avesh Khan,81
Azhar Mahmood,31
Azmatullah Omarzai,4
B Akhil,7
B Geeves,2
B Kumar,195
B Laughlin,10
B Lee,30
B Stanlake,7
BA Bhatt,13
BA Stokes,31
BAW Mendis,9
BB Sran,20
BCJ Cutting,12
BE Hendricks,11
BJ Hodge,18
BMAJ Mendis,1
BW Hilfenhaus,23
Basil Thampi,26
Bipul Sharma,22
C Green,20
C Nanda,2
C Sakariya,20
C de Grandhomme,7
CH Gayle,19
CH Morris,107
CJ Anderson,14
CJ Jordan,36
CJ McKay,1
CK Langeveldt,13
CL White,1
CR Brathwaite,16
CR Woakes,31
CRD Fernando,19
CV Varun,85
D Brevis,1
D Jansen,1
D Kalyankrishna,2
D Pretorius,7
D Salunkhe,1
D Wiese,17
D du Preez,4
DAJ Bracewell,3
DB Ravi Teja,1
DE Bollinger,43
DG Nalkande,6
DJ Bravo,207
DJ Hooda,10
DJ Hussey,10
DJ Mitchell,1
DJ Muthuswami,4
DJ Thornely,3
DJ Willey,7
DJG Sammy,14
DJM Short,1
DL Chahar,79
DL Vettori,34
DNT Zoysa,2
DP Nannes,38
DP Vijaykumar,4
DR Sams,15
DR Smith,27
DS Kulkarni,91
DT Christian,40
DW Steyn,105
FA Allen,2
FH Edwards,6
FY Fazal,1
Fazalhaq Farooqi,6
G Coetzee,13
GB Hogg,25
GC Viljoen,8
GD McGrath,14
GD Phillips,2
GH Vihari,1
GHS Garton,3
GJ Maxwell,41
GR Napier,1
GS Sandhu,1
Gagandeep Singh,3
Gurkeerat Singh,5
HF Gurney,7
HH Pandya,70
HR Shokeen,5
HV Patel,151
Harbhajan Singh,161
Harmeet Singh,31
Harpreet Brar,25
Harshit Rana,27
I Sharma,96
I Udana,8
IC Pandey,19
IC Porel,1
IK Pathan,99
IS Sodhi,9
Imran Tahir,86
Iqbal Abdulla,45
J Botha,27
J Little,13
J Suchith,20
J Syed Mohammad,10
J Theron,13
J Yadav,9
JA Morkel,96
JA Richardson,3
JC Archer,49
JD Ryder,11
JD Unadkat,109
JDP Oram,13
JDS Neesham,8
JE Taylor,6
JEC Franklin,9
JH Kallis,74
JJ Bumrah,182
JJ van der Wath,3
JL Pattinson,11
JM Kemp,3
JO Holder,59
JP Behrendorff,22
JP Duminy,23
JP Faulkner,76
JPR Scantlebury-Searles,2
JR Hazlewood,36
JR Hopes,14
JW Hastings,3
Jaskaran Singh,6
Joginder Sharma,13
K Gowtham,22
K Kartikeya,10
K Khejroliya,5
K Rabada,126
K Santokie,3
K Yadav,2
KA Jamieson,9
KA Maharaj,2
KA Pollard,81
KC Cariappa,8
KH Pandya,80
KJ Abbott,2
KK Ahmed,78
KK Cooper,36
KL Nagarkoti,5
KM Asif,7
KMA Paul,10
KMDN Kulasekara,6
KP Appanna,11
KP Pietersen,9
KR Sen,14
KT Maphaka,1
KV Sharma,82
KW Richardson,21
Kamran Khan,14
Karanveer Singh,14
Kartik Tyagi,16
Kuldeep Yadav,90
L Ablish,5
L Balaji,85
L Ngidi,28
L Wood,1
LA Carseldine,1
LB Williams,1
LE Plunkett,4
LH Ferguson,57
LI Meriwala,1
LJ Wright,2
LMP Simmons,1
LR Shukla,17
LS Livingstone,11
Lalit Yadav,11
M Ashwin,35
M Jansen,22
M Kartik,39
M Markande,37
M Morkel,88
M Muralitharan,67
M Ntini,8
M Pathirana,38
M Prasidh Krishna,54
M Siddharth,1
M Theekshana,25
M de Lange,6
MA Khote,2
MA Starc,59
MA Wood,11
MC Henriques,46
MF Maharoof,33
MG Bracewell,6
MG Johnson,66
MJ Clarke,3
MJ Henry,3
MJ McClenaghan,75
MJ Santner,16
MK Lomror,2
MK Tiwary,1
MM Ali,40
MM Patel,82
MM Sharma,147
MN Samuels,10
MP Stoinis,45
MP Yadav,8
MR Marsh,37
MS Gony,39
Mashrafe Mortaza,1
Mayank Dagar,2
Mohammad Asif,9
Mohammad Hafeez,2
Mohammad Nabi,15
Mohammed Shami,144
Mohammed Siraj,96
Mohsin Khan,27
Mujeeb Ur Rahman,20
Mukesh Choudhary,16
Mukesh Kumar,31
Mustafizur Rahman,70
N Burger,7
N Rana,10
N Thushara,8
NB Singh,1
ND Doshi,2
NLTC Perera,37
NM Coulter-Nile,52
NT Ellis,19
Navdeep Saini,26
Naveen-ul-Haq,26
Nithish Kumar Reddy,4
Noor Ahmad,24
O Thomas,5
OC McCoy,11
OF Smith,7
P Amarnath,7
P Awana,43
P Dubey,1
P Kumar,102
P Negi,38
P Parameswaran,9
P Sahu,3
P Suyal,2
PC Valthaty,7
PD Collingwood,5
PH Solanki,2
PJ Cummins,66
PJ Sangwan,44
PM Sarvesh Kumar,1
PP Chawla,201
PP Ojha,99
PV Tambe,28
PVD Chameera,11
PWH de Silva,36
Pankaj Singh,11
Parvez Rasool,4
R Ashwin,198
R Bhatia,82
R Dhawan,27
R McLaren,14
R Ninan,3
R Parag,5
R Powell,1
R Rampaul,17
R Sai Kishore,13
R Sathish,6
R Sharma,42
R Shepherd,6
R Shukla,7
R Tewatia,36
R Vinay Kumar,127
RA Jadeja,169
RD Chahar,76
RE van der Merwe,25
RG More,1
RG Sharma,16
RJ Gleeson,1
RJ Harris,47
RJ Peterson,3
RJW Topley,5
RN ten Doeschate,3
RP Meredith,21
RP Singh,100
RR Powar,15
RR Raje,7
RS Bopara,13
RS Hangargekar,3
RV Gomez,6
Ramandeep Singh,6
Rashid Khan,157
Rasikh Salam,9
Ravi Bishnoi,68
S Aravind,48
S Badree,11
S Dhawan,4
S Dube,6
S Gopal,53
S Kaul,63
S Kaushik,6
S Ladda,5
S Lamichhane,14
S Nadeem,54
S Narwal,6
S Randiv,8
S Sandeep Warrier,8
S Sreesanth,43
S Tyagi,6
S Vidyut,1
SA Abbott,1
SB Bangar,6
SB Jakati,50
SB Joshi,1
SB Styris,9
SB Wagh,5
SC Ganguly,12
SC Kuggeleijn,2
SD Chitnis,2
SE Bond,9
SE Rutherford,1
SH Johnson,4
SJ Srivastava,15
SK Raina,30
SK Trivedi,73
SK Warne,60
SL Malinga,188
SM Boland,3
SM Curran,62
SM Harwood,3
SM Pollock,13
SMSM Senanayake,9
SN Thakur,100
SP Narine,200
SR Watson,107
SS Agarwal,1
SS Cottrell,6
SS Mundhe,1
SS Sarkar,1
SSB Magala,1
ST Jayasuriya,16
STR Binny,28
SW Tait,26
Sachin Baby,3
Sandeep Sharma,153
Shahbaz Ahmed,21
Shahid Afridi,9
Shakib Al Hasan,71
Shashank Singh,1
Shivam Mavi,33
Shivam Sharma,4
Shoaib Ahmed,5
Shoaib Akhtar,5
Shoaib Malik,2
Sikandar Raza,3
Simarjeet Singh,10
Sohail Tanvir,24
Suyash Sharma,11
Swapnil Singh,7
T Henderson,1
T Natarajan,76
T Shamsi,3
T Stubbs,4
T Thushara,10
TA Boult,128
TG Southee,57
TK Curran,13
TL Suman,7
TM Dilshan,5
TM Head,3
TP Sudhindra,1
TS Mills,11
TU Deshpande,46
UT Yadav,163
Umar Gul,14
Umran Malik,31
V Kaverappa,2
V Kohli,5
V Pratap Singh,12
V Sehwag,6
V Shankar,12
V Viyaskanth,1
VG Arora,20
VR Aaron,46
VR Iyer,3
VRV Singh,16
VS Malik,6
VY Mahesh,22
Vijaykumar Vyshak,17
WA Mota,4
WD Parnell,40
WG Jacks,2
WPUJC Vaas,22
Washington Sundar,39
Y Nagar,4
Y Prithvi Raj,1
Y Venugopal Rao,7
YA Abdulla,15
YK Pathan,46
YS Chahal,213
Yash Dayal,31
Yash Thakur,27
Yudhvir Singh,4
Yuvraj Singh,39
Z Khan,119
